genome	C(%)	S(%)	D(%)	F(%)	M(%)	scaffolds	contigs	total_length	scaffold_N50	contig_N50
GCA_964006545.1	99.6	99.3	0.4	0.2	0.2	167	167	5140705	137	137
GCA_964006555.1	99.4	99.1	0.4	0.2	0.4	147	147	5164255	154	154
GCA_964006615.1	99.3	99.1	0.2	0.6	0.2	250	250	5283595	87	87
GCA_964006635.1	99.6	99.3	0.4	0.2	0.2	126	126	4999078	192	192
GCA_964006655.1	99.6	99.4	0.2	0.2	0.2	145	145	5063706	120	120
GCA_964006675.1	99.6	99.3	0.4	0.2	0.2	108	108	5142893	191	191
GCA_964006685.1	99.6	99.3	0.4	0.2	0.2	173	173	5045427	147	147
GCA_964006725.1	99.6	99.3	0.4	0.2	0.2	136	136	5167159	168	168
GCA_964006755.1	99.6	99.3	0.4	0.2	0.2	141	141	5158886	144	144
GCA_964006795.1	98.5	98.2	0.4	0.9	0.6	278	278	5137350	51	51
GCA_964006855.1	99.6	99.3	0.4	0.2	0.2	131	131	5291131	156	156
GCA_964006865.1	99.6	99.3	0.4	0.2	0.2	84	84	5172696	191	191
GCA_964006875.1	99.6	99.3	0.4	0.2	0.2	130	130	5164508	213	213
GCA_964006905.1	86.0	86.0	0.0	10.1	3.9	2412	2412	5578439	6	6
GCA_964006915.1	99.6	99.3	0.4	0.2	0.2	194	194	5404737	159	159
GCA_964006945.1	99.6	99.4	0.2	0.2	0.2	123	123	5271024	190	190
GCA_964006965.1	99.6	99.1	0.6	0.2	0.2	98	98	5370905	173	173
GCA_964006995.1	99.6	99.4	0.2	0.2	0.2	141	141	5341217	172	172
GCA_964007005.1	99.6	99.3	0.4	0.2	0.2	131	131	5144565	191	191
GCA_964007015.1	99.6	99.4	0.2	0.2	0.2	247	247	5036002	71	71
GCA_964007025.1	99.6	99.3	0.4	0.2	0.2	99	99	5265170	228	228
GCA_964007035.1	99.6	99.3	0.4	0.2	0.2	154	154	5365599	191	191
GCA_964007055.1	99.6	99.3	0.4	0.2	0.2	154	154	5314563	173	173
GCA_964007175.1	99.6	99.3	0.4	0.2	0.2	89	89	5053179	190	190
GCA_964007195.1	99.6	99.4	0.2	0.2	0.2	133	133	4887378	101	101
GCA_964007215.1	99.6	99.3	0.4	0.2	0.2	139	139	5367337	190	190
GCA_964007225.1	99.6	99.3	0.4	0.2	0.2	190	190	5093830	191	191
GCA_964007255.1	99.6	99.3	0.4	0.2	0.2	162	162	5210761	191	191
GCA_964007265.1	99.6	99.4	0.2	0.2	0.2	100	100	4746996	125	125
GCA_964007285.1	99.6	99.3	0.4	0.2	0.2	94	94	5170483	191	191
GCA_964007295.1	99.6	99.4	0.2	0.2	0.2	342	342	4942211	61	61
GCA_964007325.1	97.6	97.2	0.4	2.2	0.2	317	317	4998312	32	32
GCA_964007355.1	99.6	99.3	0.4	0.2	0.2	110	110	5169030	178	178
GCA_964007395.1	99.6	99.4	0.2	0.2	0.2	151	151	5304328	177	177
GCA_964007445.1	99.6	99.3	0.4	0.2	0.2	157	157	5283258	172	172
GCA_964205355.1	99.6	99.4	0.2	0.2	0.2	176	176	4873183	77	77
GCA_964205365.1	99.4	99.1	0.4	0.4	0.2	110	110	5166731	162	162
GCA_964205375.1	99.3	99.1	0.2	0.6	0.2	171	171	4846137	122	122
GCA_964205385.1	99.6	99.4	0.2	0.2	0.2	168	168	4879366	83	83
GCA_964205425.1	99.4	99.1	0.4	0.4	0.2	131	131	5158804	124	124
GCA_964205435.1	91.9	90.4	1.5	6.6	1.5	1754	1754	5944057	13	13
GCA_964205455.1	99.6	99.1	0.6	0.2	0.2	178	178	5208825	225	225
GCA_964205485.1	99.6	99.1	0.6	0.2	0.2	114	114	5295069	170	170
GCA_964205495.1	99.6	99.3	0.4	0.2	0.2	97	97	5159455	152	152
GCA_964205505.1	99.6	99.3	0.4	0.2	0.2	93	93	5169281	191	191
GCA_964205525.1	99.6	99.3	0.4	0.2	0.2	102	102	5096181	190	190
GCA_964205535.1	99.6	99.3	0.4	0.2	0.2	146	146	4953403	172	172
GCA_964205545.1	99.6	99.3	0.4	0.2	0.2	90	90	5167449	180	180
GCA_964205555.1	99.6	99.3	0.4	0.2	0.2	142	142	5159374	117	117
GCA_964205565.1	99.6	99.3	0.4	0.2	0.2	99	99	5171148	190	190
GCA_964205585.1	99.6	99.1	0.6	0.2	0.2	107	107	5110451	222	222
GCA_964205595.1	99.6	99.3	0.4	0.2	0.2	98	98	5170891	166	166
GCA_964205635.1	99.6	99.3	0.4	0.2	0.2	92	92	5167731	190	190
GCA_964205655.1	99.6	99.4	0.2	0.2	0.2	249	249	5281882	135	135
GCA_964205675.1	98.9	98.5	0.4	0.9	0.2	235	235	5146446	58	58
GCA_964205705.1	99.6	99.3	0.4	0.2	0.2	77	77	5174409	191	191
GCA_964205715.1	99.6	99.3	0.4	0.2	0.2	93	93	5174052	206	206
GCA_964205725.1	99.6	99.4	0.2	0.2	0.2	143	143	5419730	169	169
GCA_964205745.1	99.6	99.1	0.6	0.2	0.2	103	103	5193195	239	239
GCA_964205785.1	99.6	99.3	0.4	0.2	0.2	81	81	5175442	206	206
GCA_964205825.1	99.6	99.3	0.4	0.2	0.2	92	92	5173875	203	203
GCA_964205855.1	99.6	99.3	0.4	0.2	0.2	95	95	5166346	165	165
GCA_964205875.1	99.6	99.4	0.2	0.2	0.2	117	117	4775540	101	101
GCA_964205905.1	99.6	99.1	0.6	0.2	0.2	112	112	5236702	240	240
GCA_964205925.1	99.6	99.3	0.4	0.2	0.2	102	102	5168567	175	175
GCA_964205945.1	99.6	99.1	0.6	0.2	0.2	192	192	5182265	112	112
GCA_964205975.1	99.6	99.1	0.6	0.2	0.2	168	168	5402000	94	94
GCA_964205995.1	99.6	99.3	0.4	0.2	0.2	136	136	5443303	212	212
GCA_964206005.1	99.1	98.7	0.4	0.7	0.2	237	237	4860022	56	56
GCA_964206025.1	99.6	99.3	0.4	0.2	0.2	89	89	5190166	206	206
GCA_964206045.1	99.6	99.3	0.4	0.2	0.2	125	125	5000167	124	124
GCA_964206105.1	98.2	98.0	0.2	1.3	0.6	347	347	4831753	37	37
GCA_964206175.1	99.6	99.3	0.4	0.2	0.2	180	180	5125557	132	132
GCA_964206185.1	99.1	98.7	0.4	0.7	0.2	193	193	5112531	90	90
GCA_964206225.1	99.6	99.3	0.4	0.2	0.2	298	298	5242293	135	135
GCA_964206255.1	99.6	99.3	0.4	0.2	0.2	144	144	5368697	162	162
GCA_964206265.1	99.6	99.4	0.2	0.2	0.2	146	146	4889974	96	96
GCA_964206275.1	98.5	98.3	0.2	1.1	0.4	423	423	5105881	32	32
GCA_964206355.1	99.6	99.3	0.4	0.2	0.2	130	130	5165652	190	190
GCA_964206375.1	99.6	99.3	0.4	0.2	0.2	138	138	5166587	180	180
GCA_964206385.1	97.6	97.4	0.2	2.2	0.2	371	371	4830810	30	30
GCA_964206405.1	99.6	99.3	0.4	0.2	0.2	134	134	4993219	136	136
GCA_964206415.1	99.4	99.1	0.4	0.2	0.4	155	155	5119835	126	126
GCA_964206505.1	99.6	99.3	0.4	0.2	0.2	127	127	5135813	190	190
GCA_964206525.1	99.6	99.1	0.6	0.2	0.2	135	135	5293706	159	159
GCA_964206535.1	99.6	99.4	0.2	0.2	0.2	146	146	5471606	181	181
GCA_964206545.1	99.6	99.3	0.4	0.2	0.2	196	196	5092607	145	145
GCA_964206565.1	99.6	99.3	0.4	0.2	0.2	148	148	5162148	180	180
GCA_964206575.1	99.6	99.4	0.2	0.2	0.2	154	154	5292527	145	145
GCA_964206585.1	99.6	99.4	0.2	0.2	0.2	118	118	5268811	190	190
GCA_964206605.1	99.6	99.4	0.2	0.2	0.2	172	172	5373479	156	156
GCA_966502205.1	99.6	99.3	0.4	0.2	0.2	87	87	5064064	217	217
GCA_966512345.1	99.6	99.4	0.2	0.2	0.2	167	167	5032996	114	114
GCA_966516095.1	99.6	99.4	0.2	0.2	0.2	103	103	4747246	147	147
GCA_966518725.1	99.6	99.4	0.2	0.2	0.2	221	221	5214762	95	95
GCA_966555405.1	99.6	99.3	0.4	0.2	0.2	186	186	5165058	243	243
GCA_966555485.1	99.6	99.4	0.2	0.2	0.2	112	112	4909871	123	123
GCA_966556535.1	99.6	99.3	0.4	0.2	0.2	315	315	5136392	125	125
GCA_966562275.1	99.6	99.4	0.2	0.2	0.2	152	152	5046523	90	90
GCA_966562775.1	99.6	99.4	0.2	0.2	0.2	338	338	5273959	95	95
GCA_966564195.1	99.6	99.4	0.2	0.2	0.2	270	270	5042619	54	54
GCA_966565785.1	99.6	99.4	0.2	0.2	0.2	321	321	5074055	48	48
GCA_966570365.1	99.6	99.4	0.2	0.2	0.2	221	221	5209574	94	94
GCA_966572575.1	99.6	99.4	0.2	0.2	0.2	620	620	5347564	125	125
GCA_966573225.1	99.6	99.4	0.2	0.2	0.2	368	368	5494619	93	93
GCA_966573385.1	99.6	99.4	0.2	0.2	0.2	212	212	5211297	94	94
GCA_966576395.1	99.6	98.7	0.9	0.2	0.2	316	316	5591535	85	85
GCA_966591305.1	99.6	99.4	0.2	0.2	0.2	272	272	5044739	54	54
GCA_966652735.1	99.6	99.4	0.2	0.2	0.2	69	69	4760149	148	148
GCA_968938235.1	99.6	87.6	12.0	0.2	0.2	3137	3137	7647159	47	47
GCA_969779115.1	99.6	99.4	0.2	0.2	0.2	157	157	5016328	79	79
GCA_970664135.1	99.6	99.3	0.4	0.2	0.2	102	102	5152786	239	239
GCA_972176215.1	99.6	99.3	0.4	0.2	0.2	73	73	5021279	168	168
GCA_972176395.1	99.6	99.3	0.4	0.2	0.2	100	100	4988814	244	244
