Sample,ST,Serotype,Phylogroup,CH_Type,Pathotype,AMR_Count,Virulence_Count
GCA_964205455.1,ST131,O16:H5,B2,fumC40:fimH41,none,33,215
GCA_040416885.1,ST167,O101:H9,A,fumC11:Unknown,none,26,217
GCA_040417965.1,ST167,O101:H9,A,fumC11:Unknown,none,30,218
GCA_040507365.1,ST167,O101:H9,A,fumC11:Unknown,none,30,221
GCA_907163665.1,ST167,O101:H21,A,fumC11:fimH54,none,36,216
GCA_030025055.1,ST131,O16:H5,B2,fumC40:fimH41,none,40,213
GCA_040416135.1,ST167,O101:H17,A,fumC11:Unknown,none,34,224
GCA_964206505.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,223
GCA_964205555.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,229
GCA_964006755.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,39,218
GCA_907164365.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,217
GCA_040417485.1,ST167,O101:H5,A,fumC11:Unknown,none,27,205
GCA_040417235.1,ST167,O101:H5,A,fumC11:Unknown,none,23,207
GCA_050112935.1,ST167,O101:H17,A,fumC11:Unknown,none,34,224
GCA_009900285.1,ST10,O8:H17,A,fumC11:fimH43,none,30,213
GCA_964206225.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,36,209
GCA_040418585.1,ST167,O101:H5,A,fumC11:Unknown,none,28,210
GCA_040416265.1,ST167,O101:H5,A,fumC11:Unknown,none,30,212
GCA_009824295.1,ST10,O159:H4,A,fumC11:fimH27,none,30,200
GCA_964006205.1,ST131,O25:H4,B2,fumC40:fimH30,none,35,204
GCA_966591305.1,ST10,O29:H4,A,fumC11:fimH25,none,18,205
GCA_040418545.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_964007265.1,ST167,O101:H21,A,fumC11:fimH54,none,24,221
GCA_964006055.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,43,218
GCA_964205975.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,230
GCA_040417215.1,ST167,O101:H5,A,fumC11:Unknown,none,30,210
GCA_040418825.1,ST167,O101:H9,A,fumC11:Unknown,none,28,215
GCA_964007175.1,ST131,O25:H4,B2,fumC40:fimH30,none,36,214
GCA_964205485.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,230
GCA_040716695.1,ST131,O25:H4,B2,fumC40:fimH22,none,56,242
GCA_964006545.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,222
GCA_037047925.1,ST131,O25:H4,B2,fumC40:fimH30,none,31,197
GCA_040418755.1,ST167,O101:H9,A,fumC11:Unknown,none,27,218
GCA_009824475.1,ST10,Unknown,A,fumC11:fimH54,none,13,182
GCA_009824615.1,ST10,O6:H9,A,fumC11:fimH54,none,38,257
GCA_964205945.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,207
GCA_040415655.1,ST167,O101:H5,A,fumC11:Unknown,none,23,213
GCA_040418965.1,ST167,O101:H9,A,fumC11:Unknown,none,30,220
GCA_040712355.1,ST10,O101:H10,A,fumC11:fimH54,none,13,215
GCA_040415475.1,ST167,O101:H5,A,fumC11:Unknown,none,27,212
GCA_050113015.1,ST167,O101:H5,A,fumC11:Unknown,none,30,214
GCA_966570365.1,ST10,O27:H37,A,fumC11:fimH215,EAEC,18,226
GCA_052072795.1,ST167,O8:H9,A,fumC11:Unknown,none,31,227
GCA_040415995.1,ST167,O101:H5,A,fumC11:Unknown,none,30,208
GCA_966516095.1,ST10,O107:H27,A,fumC11:fimH23,EAEC,15,192
GCA_009793505.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_009793615.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_907164375.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,216
GCA_964007285.1,ST131,O25:H4,B2,fumC40:fimH30,none,41,231
GCA_009795595.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_037049005.1,ST10,O101:H10,A,fumC11:fimH54,none,12,194
GCA_037047605.1,ST131,O16:H5,B2,fumC40:fimH41,none,29,191
GCA_907163815.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,217
GCA_009793945.1,ST10,O107:H27,Unknown,fumC11:fimH54,none,33,233
GCA_040416635.1,ST167,O101:H9,A,fumC11:Unknown,none,31,219
GCA_040418405.1,ST167,O101:H9,A,fumC11:Unknown,none,27,219
GCA_964205705.1,ST131,O25:H4,B2,fumC40:fimH30,none,42,233
GCA_040417905.1,ST167,O101:H9,A,fumC11:Unknown,none,30,217
GCA_907163805.1,ST131,O25:H4,B2,fumC40:fimH30,none,37,216
GCA_037047175.1,ST131,O25:H4,B2,fumC40:fimH30,none,39,212
GCA_040712505.1,ST10,O101:H10,A,fumC11:fimH54,none,29,217
GCA_040415815.1,ST167,O101:H5,A,fumC11:Unknown,none,26,206
GCA_040419145.1,ST167,O101:H5,A,fumC11:Unknown,none,29,209
GCA_040416335.1,ST167,O101:H17,A,fumC11:Unknown,none,34,224
GCA_040416525.1,ST167,O101:H9,A,fumC11:Unknown,none,24,217
GCA_040713755.1,ST10,O132:H21,A,fumC11:fimH54,EAEC,47,151
GCA_009793445.1,ST10,O51:H4,A,fumC11:fimH24,EAEC,15,167
GCA_040415435.1,ST167,O101:H9,A,fumC11:Unknown,none,31,221
GCA_040713425.1,ST131,O25:H4,B2,fumC40:fimH22,none,27,241
GCA_040415755.1,ST167,O101:H5,A,fumC11:Unknown,none,24,211
GCA_964007005.1,ST131,O16:H5,B2,fumC40:fimH41,none,40,232
GCA_964206545.1,ST131,O16:H5,B2,fumC40:fimH41,DAEC,39,215
GCA_009824745.1,ST10,O150:H9,Unknown,fumC11:fimH54,none,18,226
GCA_022488185.1,ST10,O16:H48,A,fumC11:fimH27,none,4,156
GCA_040418645.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_050112895.1,ST167,O101:H9,A,fumC11:Unknown,none,32,221
GCA_040418685.1,ST167,O101:H9,A,fumC11:Unknown,none,28,219
GCA_040415575.1,ST167,O101:H5,A,fumC11:Unknown,none,27,203
GCA_907163575.1,ST131,O25:H4,B2,fumC40:fimH30,none,36,213
GCA_964006635.1,ST131,O16:H5,B2,fumC40:fimH41,none,32,212
GCA_009901165.1,ST10,O9a:H9,A,fumC11:fimH54,none,20,200
GCA_964006225.1,ST131,O25:H4,B2,fumC40:fimH30,DAEC,43,235
GCA_040416565.1,ST167,O101:H9,A,fumC11:Unknown,none,31,220
GCA_964006655.1,ST10,O9a:H9,A,fumC11:fimH54,none,19,192
GCA_964006175.1,ST131,O25:H4,B2,fumC40:fimH30,none,39,234
GCA_040713875.1,ST10,O51:H48,A,fumC11:fimH54,EAEC,39,174
