Assembly	BioProject	Country	MLST	Serotype	O_Type	H_Type	CH_Type	Phylogroup	N50	GC_Content	Total_Length
GCA_040416515.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	119275	50.69	5046745
GCA_040416525.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	54859	50.66	4872882
GCA_040416505.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	76287	50.71	5037942
GCA_040416495.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	53549	50.65	5055696
GCA_040416475.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	45239	50.66	4960536
GCA_040416435.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	94653	50.63	5057400
GCA_040416405.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	48922	50.68	5032176
GCA_040416415.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	96715	50.7	5045278
GCA_040416395.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	27509	50.83	4902111
GCA_040416375.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	87179	50.71	5035188
GCA_040416355.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	97518	50.68	5059086
GCA_040416335.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	82500	50.67	5057207
GCA_040416295.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	88711	50.63	5063670
GCA_040416265.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	119275	50.69	5041899
GCA_040416205.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	119275	50.64	4999389
GCA_040416215.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	87677	50.64	5055575
GCA_040416195.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	62906	50.65	5050988
GCA_040416135.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	103217	50.68	5054892
GCA_040416105.1	PRJNA1096457	Niger	ST167	O101:H9	O101	H9	fumC11:Unknown	A	56294	50.66	5034905
GCA_040416095.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	66642	50.71	5046760
GCA_040416045.1	PRJNA1096457	Niger	ST167	O101:H17	O101	H17	fumC11:Unknown	A	90842	50.68	5034676
GCA_040416035.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	137372	50.68	5048355
GCA_040416005.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	105884	50.68	5038196
GCA_040415995.1	PRJNA1096457	Niger	ST167	O101:H5	O101	H5	fumC11:Unknown	A	59907	50.77	5066758
GCA_966555405.1	PRJEB73590	Nigeria	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	243760	50.75	5165058
GCA_030024825.1	PRJNA962793	Nigeria	ST10	O9a:H9	O9a	H9	fumC11:fimH54	A	124632	50.92	4676559
GCA_009720065.1	PRJNA589205	Nigeria	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	173083	50.79	5245824
GCA_030025055.1	PRJNA962793	Nigeria	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	243624	50.74	5154594
GCA_030024465.1	PRJNA962793	Nigeria	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	156210	50.42	5278227
GCA_907163995.1	PRJEB42795	Rwanda	ST10	O116:H38	O116	H38	fumC11:fimH32	A	176029	50.55	5065702
GCA_907164375.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191839	50.76	5193590
GCA_907164365.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	222782	50.75	5148220
GCA_907164245.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	209851	50.75	5055383
GCA_907163915.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	225267	50.7	5287108
GCA_907163825.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	217740	50.76	5149936
GCA_907163815.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	246470	50.74	5110065
GCA_907163765.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191000	50.74	5108629
GCA_907163805.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	222782	50.76	5148998
GCA_907163735.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	205093	50.7	5290876
GCA_907163705.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	173821	50.74	5113558
GCA_907163635.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	164040	50.74	5215489
GCA_907163605.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190820	50.74	5214376
GCA_907163625.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	172022	50.74	5213250
GCA_907163575.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	173342	50.74	5215304
GCA_907163515.1	PRJEB42795	Rwanda	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	163437	50.74	5208592
GCA_907163715.1	PRJEB42795	Rwanda	ST167	O101:H21	O101	H21	fumC11:fimH54	A	108365	50.46	5087201
GCA_907163665.1	PRJEB42795	Rwanda	ST167	O101:H21	O101	H21	fumC11:fimH54	A	121519	50.46	5087018
GCA_907163495.1	PRJEB42795	Rwanda	ST167	O101:H21	O101	H21	fumC11:fimH54	A	86245	50.45	5085967
GCA_907163485.1	PRJEB42795	Rwanda	ST167	O101:H21	O101	H21	fumC11:fimH54	A	101506	50.45	5098953
GCA_907163365.1	PRJEB42795	Rwanda	ST167	O101:H9	O101	H9	fumC11:Unknown	A	89733	50.87	4903977
GCA_025536675.1	PRJNA738374	Senegal	ST10	Unknown	ND	ND	fumC11:fimH23	A	2889031	50.75	4858794
GCA_025536555.1	PRJNA738374	Senegal	ST10	O5:H11	O5	H11	fumC11:fimH23	A	88455	50.68	4582499
GCA_025536495.1	PRJNA738374	Senegal	ST10	Unknown	ND	ND	fumC11:fimH23	A	106394	50.67	4693095
GCA_025544715.1	PRJNA738374	Senegal	ST10	Unknown	ND	ND	fumC11:fimH23	A	88266	49.17	5228989
GCA_025544835.1	PRJNA738374	Senegal	ST10	Unknown	ND	ND	fumC11:fimH23	A	34390	50.65	4736055
GCA_030520165.1	PRJNA986545	Senegal	ST167	O101:H9	O101	H9	fumC11:Unknown	A	4795870	50.72	5088163
GCA_022488345.1	PRJNA806525	Sudan	ST10	O16:H48	O16	H48	fumC11:fimH27	A	4641178	50.79	4641178
GCA_022488205.1	PRJNA806525	Sudan	ST10	O16:H48	O16	H48	fumC11:fimH27	A	4641599	50.79	4641599
GCA_022488185.1	PRJNA806525	Sudan	ST10	O16:H48	O16	H48	fumC11:fimH27	A	4640960	50.79	4640960
GCA_968938235.1	PRJEB73590	Tanzania	ST10	O27:H37	O27	H37	fumC11:fimH215	A	47043	51.05	7647159
GCA_969779115.1	PRJEB73590	Tanzania	ST10	O128ac:H10	O128ac	H10	fumC11:fimH54	A	79934	50.52	5016328
GCA_970664135.1	PRJEB73590	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	239930	50.7	5152786
GCA_972176395.1	PRJEB73590	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	244181	50.7	4988814
GCA_972176215.1	PRJEB73590	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	168689	50.78	5021279
GCA_964006655.1	PRJEB71714	Tanzania	ST10	O9a:H9	O9a	H9	fumC11:fimH54	A	120003	49.8	5063706
GCA_964006445.1	PRJEB71714	Tanzania	ST10	O29:H4	O29	H4	fumC11:fimH25	A	90056	50.67	5096069
GCA_964006435.1	PRJEB71714	Tanzania	ST10	O12:H4	O12	H4	fumC11:fimH27	A	118816	50.72	5124923
GCA_009901185.1	PRJNA578301	Tanzania	ST10	O73:H31	O73	H31	fumC11:fimH23	A	210717	50.86	4871864
GCA_009901165.1	PRJNA578301	Tanzania	ST10	O9a:H9	O9a	H9	fumC11:fimH54	A	129948	50.88	4830382
GCA_009901145.1	PRJNA578301	Tanzania	ST10	O9a:H9	O9a	H9	fumC11:fimH54	A	148554	50.91	4766290
GCA_009901125.1	PRJNA578301	Tanzania	ST10	O113:H4	O113	H4	fumC11:fimH24	A	158502	50.57	4971573
GCA_009900625.1	PRJNA578301	Tanzania	ST10	O153:H21	O153	H21	fumC11:fimH24	A	227174	50.86	4752528
GCA_009900645.1	PRJNA578301	Tanzania	ST10	O153:H21	O153	H21	fumC464:fimH24	A	227174	51.33	5286776
GCA_009900585.1	PRJNA578301	Tanzania	ST10	O153:H21	O153	H21	fumC11:fimH24	A	149971	50.84	4744654
GCA_009900425.1	PRJNA578301	Tanzania	ST10	O9a:H9	O9a	H9	fumC11:fimH54	A	124709	50.87	4631696
GCA_009900285.1	PRJNA578301	Tanzania	ST10	O8:H17	O8	H17	fumC11:fimH43	A	155603	50.87	4993602
GCA_009900075.1	PRJNA578301	Tanzania	ST10	O13/O129:H11	O13/O129	H11	fumC11:fimH27	A	138257	50.79	4909482
GCA_009825265.1	PRJNA578301	Tanzania	ST10	O101:H10	O101	H10	fumC11:Unknown	A	104447	50.75	4843141
GCA_009825195.1	PRJNA578301	Tanzania	ST10	Unknown	ND	ND	fumC11:fimH54	A	138048	50.79	4865441
GCA_009825065.1	PRJNA578301	Tanzania	ST10	O9a:H9	O9a	H9	fumC11:Unknown	A	87300	52	6654516
GCA_009824835.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	163188	50.73	4680920
GCA_009824745.1	PRJNA578301	Tanzania	ST10	O150:H9	O150	H9	fumC11:fimH54	Unknown	13544	50.39	6077196
GCA_009824615.1	PRJNA578301	Tanzania	ST10	O6:H9	O6	H9	fumC11:fimH54	A	105398	50.5	5273025
GCA_009824555.1	PRJNA578301	Tanzania	ST10	Unknown	ND	ND	fumC11:fimH54	A	138048	50.77	4851959
GCA_009824475.1	PRJNA578301	Tanzania	ST10	Unknown	ND	ND	fumC11:fimH54	A	135316	50.76	4851314
GCA_009824425.1	PRJNA578301	Tanzania	ST10	Unknown	ND	ND	fumC11:fimH54	A	137955	50.78	4856387
GCA_009824335.1	PRJNA578301	Tanzania	ST10	Unknown	ND	ND	fumC11:fimH54	A	174322	50.73	4870603
GCA_009824295.1	PRJNA578301	Tanzania	ST10	O159:H4	O159	H4	fumC11:fimH27	A	203721	50.41	4866211
GCA_009824215.1	PRJNA578301	Tanzania	ST10	O154:H4	O154	H4	fumC11:fimH54	A	101803	50.85	4519544
GCA_009824205.1	PRJNA578301	Tanzania	ST10	O19:H19	O19	H19	fumC11:fimH24	A	211001	50.89	4806058
GCA_009824195.1	PRJNA578301	Tanzania	ST10	Unknown	ND	ND	fumC11:fimH54	A	138048	50.74	4874590
GCA_009823945.1	PRJNA578301	Tanzania	ST10	O50:H19	O50	H19	fumC11:fimH25	A	134452	50.77	4765907
GCA_009823885.1	PRJNA578301	Tanzania	ST10	O13/O129:H48	O13/O129	H48	fumC11:fimH32	A	133408	50.76	4642120
GCA_009798605.1	PRJNA578301	Tanzania	ST10	O128ac:H12	O128ac	H12	fumC11:fimH54	A	167959	50.61	4657336
GCA_009793215.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	188117	50.7	4743072
GCA_009793445.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	179595	50.69	4744257
GCA_009795645.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	187823	50.69	4741736
GCA_009795595.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	188117	50.69	4748624
GCA_009795575.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	179841	50.68	4744757
GCA_009794485.1	PRJNA578301	Tanzania	ST10	O69:H10	O69	H10	fumC11:fimH24	A	186028	50.81	5030893
GCA_009793945.1	PRJNA578301	Tanzania	ST10	O107:H27	O107	H27	fumC11:fimH54	Unknown	118540	50.29	5530902
GCA_009793715.1	PRJNA578301	Tanzania	ST10	O29:H10	O29	H10	fumC11:fimH24	A	186024	50.68	4979234
GCA_009793665.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	179595	50.7	4742791
GCA_009793645.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	179841	50.69	4740544
GCA_009793635.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	169883	50.72	4786391
GCA_009793615.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	188117	50.7	4743119
GCA_009793505.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	167571	50.68	4747631
GCA_011763315.1	PRJNA578301	Tanzania	ST10	O68:H12	O68	H12	fumC11:fimH23	A	109496	50.39	4973003
GCA_011763295.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	155629	50.73	4685269
GCA_011763275.1	PRJNA578301	Tanzania	ST10	O81:H27	O81	H27	fumC11:fimH23	A	90929	50.74	4704788
GCA_011763135.1	PRJNA578301	Tanzania	ST10	O51:H4	O51	H4	fumC11:fimH24	A	168393	50.7	4743936
GCA_011763075.1	PRJNA578301	Tanzania	ST10	O81:H27	O81	H27	fumC11:fimH23	A	90929	50.77	4700115
GCA_011317975.1	PRJNA578301	Tanzania	ST10	O9a:H9	O9a	H9	fumC11:fimH54	A	197175	50.89	4778956
GCA_011317875.1	PRJNA578301	Tanzania	ST10	O9a:H9	O9a	H9	fumC11:fimH54	A	291116	50.89	4782945
GCA_011318395.1	PRJNA578301	Tanzania	ST10	O71:H48	O71	H48	fumC11:fimH54	A	112242	50.31	4995943
GCA_964007325.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	32165	50.63	4998312
GCA_964006995.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	172957	50.63	5341217
GCA_964006755.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	144771	50.76	5158886
GCA_964006505.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190971	50.74	5047947
GCA_964006915.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	159034	50.36	5404737
GCA_964006905.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	6878	50.29	5578439
GCA_964006405.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190971	50.6	5168098
GCA_964006475.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	158933	50.6	5166343
GCA_964007005.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	191640	50.57	5144565
GCA_964006385.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	159109	50.64	5193690
GCA_964006175.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191964	50.66	5197050
GCA_964007025.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	228236	50.58	5265170
GCA_964006395.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	158934	50.6	5324155
GCA_964007255.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191691	50.48	5210761
GCA_964006875.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	213027	50.57	5164508
GCA_964006635.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	192138	50.75	4999078
GCA_964006865.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191306	50.6	5172696
GCA_964006615.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	87879	50.65	5283595
GCA_964006325.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	138704	50.71	5415111
GCA_964007285.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191839	50.6	5170483
GCA_964006185.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	103884	50.63	5384683
GCA_964007035.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191909	50.61	5365599
GCA_964007055.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	173684	50.61	5314563
GCA_964006795.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	51427	50.69	5137350
GCA_964006555.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	154594	50.67	5164255
GCA_964006315.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	192026	50.6	5172482
GCA_964006545.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	137798	50.67	5140705
GCA_964006945.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190796	50.62	5271024
GCA_964006725.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	168045	50.57	5167159
GCA_964006965.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	173573	50.59	5370905
GCA_964006355.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190971	50.6	5168908
GCA_964007445.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	172016	50.62	5283258
GCA_964007225.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	191367	50.74	5093830
GCA_964007215.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190971	50.51	5367337
GCA_964006855.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	156627	50.66	5291131
GCA_964006225.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	138707	50.62	5310506
GCA_964006015.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	134640	50.58	5219721
GCA_964006685.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	147205	50.63	5045427
GCA_964006205.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	48789	50.72	5095753
GCA_964007395.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	177347	50.63	5304328
GCA_964006675.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191513	50.68	5142893
GCA_964006025.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190647	50.64	5278524
GCA_964007355.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	178338	50.6	5169030
GCA_964006265.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	165543	50.61	5309796
GCA_964006055.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	178568	50.81	5223309
GCA_964006295.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	124102	50.65	5112343
GCA_964007175.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190971	50.75	5053179
GCA_964205485.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	170603	50.58	5295069
GCA_964205525.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190935	50.82	5096181
GCA_964205925.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	175045	50.6	5168567
GCA_964205495.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	152216	50.6	5159455
GCA_964205785.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	206849	50.6	5175442
GCA_964205655.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	135410	50.63	5281882
GCA_964205535.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	172963	50.69	4953403
GCA_964205565.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190806	50.6	5171148
GCA_964205995.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	212464	50.27	5443303
GCA_964205635.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190992	50.6	5167731
GCA_964206045.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	124089	50.73	5000167
GCA_964205595.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	166206	50.6	5170891
GCA_964205365.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	162945	50.6	5166731
GCA_964205545.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	180617	50.6	5167449
GCA_964205425.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	124139	50.6	5158804
GCA_964205505.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191981	50.6	5169281
GCA_964205905.1	PRJEB71714	Tanzania	ST131	O153:H4	O153	H4	fumC40:fimH30	B2	240327	50.63	5236702
GCA_964205585.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	222419	50.54	5110451
GCA_964205745.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	239476	50.53	5193195
GCA_964205945.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	112718	50.68	5182265
GCA_964205825.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	203380	50.6	5173875
GCA_964205705.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	191342	50.6	5174409
GCA_964205675.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	58918	50.6	5146446
GCA_964206005.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	56515	50.7	4860022
GCA_964205555.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	117753	50.6	5159374
GCA_964205435.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	13004	50.42	5944057
GCA_964205715.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	206849	50.6	5174052
GCA_964205725.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	169607	50.6	5419730
GCA_964206025.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	206850	50.6	5190166
GCA_964205455.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	225457	50.59	5208825
GCA_964205975.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	94423	50.56	5402000
GCA_964205855.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	165542	50.6	5166346
GCA_964206575.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	145245	50.63	5292527
GCA_964206605.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	156275	50.65	5373479
GCA_964206175.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	132603	50.56	5125557
GCA_964206505.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190971	50.68	5135813
GCA_964206185.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	90842	50.66	5112531
GCA_964206585.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	190796	50.61	5268811
GCA_964206225.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	135410	50.74	5242293
GCA_964206355.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	190889	50.56	5165652
GCA_964206565.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	180780	50.56	5162148
GCA_964206535.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	181151	50.3	5471606
GCA_964206375.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	180816	50.67	5166587
GCA_964206255.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	162868	50.62	5368697
GCA_964206415.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	126051	50.67	5119835
GCA_964206525.1	PRJEB71714	Tanzania	ST131	O25:H4	O25	H4	fumC40:fimH30	B2	159797	50.64	5293706
GCA_964206405.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	136617	50.75	4993219
GCA_964206545.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	145314	50.61	5092607
GCA_964006105.1	PRJEB71714	Tanzania	ST131	O16:H5	O16	H5	fumC40:fimH41	B2	190889	50.55	5249461
GCA_964007195.1	PRJEB71714	Tanzania	ST167	O101:H10	O101	H10	fumC11:fimH54	A	101279	50.62	4887378
GCA_964007265.1	PRJEB71714	Tanzania	ST167	O101:H21	O101	H21	fumC11:fimH54	A	125776	50.73	4746996
GCA_964007015.1	PRJEB71714	Tanzania	ST167	O101:H9	O101	H9	fumC11:Unknown	A	71815	50.71	5036002
GCA_964007295.1	PRJEB71714	Tanzania	ST167	O101:H21	O101	H21	fumC11:fimH54	A	61396	50.67	4942211
GCA_964205375.1	PRJEB71714	Tanzania	ST167	O101:H17	O101	H17	fumC11:Unknown	A	122320	50.76	4846137
GCA_964206105.1	PRJEB71714	Tanzania	ST167	O101:H17	O101	H17	fumC11:Unknown	A	37318	50.74	4831753
GCA_964205875.1	PRJEB71714	Tanzania	ST167	O101:H21	O101	H21	fumC11:fimH54	A	101283	50.79	4775540
GCA_964205385.1	PRJEB71714	Tanzania	ST167	O101:H21	O101	H21	fumC11:fimH54	A	83352	50.79	4879366
