sample,st,serotype,critical_amr_genes,critical_virulence_genes
GCA_040415585.1,ST167,O101:H9,"['blaNDM-5', 'blaTEM-190']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964206005.1,ST131,O16:H5,['blaCTX-M-27'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'irp2', 'sitD', 'eaeH', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_030024825.1,ST10,O9a:H9,['blaTEM-1'],"['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE', 'espX1']"
GCA_964206275.1,ST167,O101:H10,"['blaCTX-M-15', 'blaTEM-1', 'qnrS1']","['ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_009824205.1,ST10,O19:H19,['blaTEM-1'],"['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE', 'espX1']"
GCA_964206045.1,ST131,O25:H4,['blaCTX-M-27'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'iucB', 'kpsC']"
GCA_964006015.1,ST131,O16:H5,"['blaCTX-M-15', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'east1', 'ibeB', 'aaiW', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'astA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040419125.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_009901145.1,ST10,O9a:H9,['blaTEM-1'],"['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE', 'espX1']"
GCA_040415855.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-1']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_037046935.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'iucD', 'irp2', 'iucA', 'eaeH', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964205825.1,ST131,O25:H4,"['blaTEM-1', 'blaTEMp_C32T']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964007445.1,ST131,O16:H5,"['blaCTX-M-27', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040712435.1,ST10,Unknown,['blaTEM-1'],"['rhs/PAAR', 'east1', 'ibeB', 'espX4', 'astA', 'eaeH', 'espR1', 'espX5', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964205435.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaCTX-M-27', 'blaOXA-1', 'blaTEM-1']","['chuX', 'sitC', 'ybtE', 'east1', 'chuV', 'sitA', 'iucC', 'iucD', 'iucA', 'astA', 'sitD', 'eaeH', 'ybtU', 'kpsM', 'kpsS', 'iss2', 'ibeC', 'chuS', 'kpsF', 'chuT', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB']"
GCA_037048105.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucD', 'irp2', 'iucA', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964006795.1,ST131,O16:H5,"['blaCTX-M-15', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964006185.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'east1', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'astA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_037047235.1,ST131,O16:H5,"['blaCTX-M-15', 'blaTEM-1']","['sitB', 'aatC', 'chuX', 'sitC', 'ybtE', 'kpsD', 'east1', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'aaiT', 'iucD', 'irp2', 'iucA', 'astA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'aatA', 'ybtP', 'aatP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'aatB', 'kpsC']"
GCA_009900425.1,ST10,O9a:H9,['blaTEM-1'],"['rhs/PAAR', 'ibeB', 'espX4', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE', 'espX1']"
GCA_964205875.1,ST167,O101:H21,"['blaCTX-M-15', 'blaTEM-1']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040712465.1,ST10,O101:H10,['blaTEM-1'],"['rhs/PAAR', 'east1', 'ibeB', 'espX4', 'astA', 'eaeH', 'espX5', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040415955.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-84', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964206025.1,ST131,O25:H4,"['blaTEM-1', 'blaTEMp_C32T']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040416045.1,ST167,O101:H17,"['blaCTX-M-55', 'blaNDM-5', 'rmtB']","['rhs/PAAR', 'ybtE', 'east1', 'ibeB', 'aaiW', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'astA', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964006025.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'iucB', 'kpsC']"
GCA_964006905.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M', 'blaCTX-M-15', 'blaOXA-1', 'blaTEM-1']","['chuX', 'sitC', 'east1', 'ibeB', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'iucA', 'astA', 'chuU', 'eaeH', 'kpsM', 'kpsS', 'fyuA/psn', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'iutA', 'kpsF', 'chuT', 'kpsU', 'chuA', 'trat', 'iucB']"
GCA_009823885.1,ST10,O13/O129:H48,['blaTEM-1'],"['ibeB', 'espX4', 'espR1', 'espX5', 'aatA', 'iss2', 'espY1', 'ibeC', 'espL1', 'espR4', 'espL4', 'espL3', 'hlyE']"
GCA_964206355.1,ST131,O16:H5,"['blaCTX-M-27', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040418305.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040415905.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_049546825.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA', 'blaTEM-1', 'rmtB']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040415455.1,ST167,O101:H17,"['blaCTX-M-55', 'blaNDM-5', 'rmtB']","['rhs/PAAR', 'ybtE', 'east1', 'ibeB', 'aaiW', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'astA', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat']"
GCA_040417825.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-1', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_966555405.1,ST131,O25:H4,"['blaCTX-M-27', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964205725.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'east1', 'ibeB', 'aaiW', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'aaiT', 'iucD', 'irp2', 'iucA', 'astA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040419085.1,ST167,O101:H9,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-190', 'blaTEMp_C32T']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_964007035.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'irp2', 'iucA', 'sitD', 'eaeH', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_964205375.1,ST167,O101:H17,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['rhs/PAAR', 'sitC', 'ybtE', 'east1', 'ibeB', 'aaiW', 'ybtA', 'espX4', 'iucC', 'iucD', 'irp2', 'iucA', 'astA', 'sitD', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'iutA', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'iucB', 'espX1']"
GCA_040416515.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_024330145.2,ST10,O166:H10,"['blaCTX-M-15', 'blaTEM-1', 'qnrS1']","['ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'ybtU', 'espR1', 'espX5', 'ybtP', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'espX1']"
GCA_964006355.1,ST131,O25:H4,"['blaTEM-1', 'blaTEMp_C32T']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_040418245.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaTEM-1', 'mcr-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040416955.1,ST167,O101:H5,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_037047245.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'eaeH', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_972176395.1,ST131,O16:H5,"['blaCTX-M-15', 'blaTEM-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_037049385.1,ST167,O101:H21,"['blaCTX-M-15', 'blaTEM-1']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_907163605.1,ST131,O25:H4,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'eaeH', 'chuU', 'ybtU', 'kpsM', 'ybtP', 'chuY', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'kpsF', 'chuT', 'ybtX', 'ybtT', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_966555485.1,ST10,O101:H4,"['blaTEM-1', 'blaTEMp_C32T']","['rhs/PAAR', 'sitB', 'sitC', 'ybtE', 'ibeB', 'aaiW', 'ybtA', 'espX4', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'iutA', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'iucB']"
GCA_037049365.1,ST167,O8:H9,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaOXA-1']","['rhs/PAAR', 'ybtE', 'ibeB', 'ybtA', 'espX4', 'ybtQ', 'irp2', 'eaeH', 'ybtU', 'espR1', 'espX5', 'ybtP', 'iss2', 'espY1', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'espL1', 'ybtS', 'espR4', 'ybtX', 'espL4', 'ybtT', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040418525.1,ST167,O101:H5,"['blaCTX-M-15', 'blaNDM-5', 'blaTEM-1', 'qnrS1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_037049825.1,ST131,O25:H4,['qnrB4'],"['sitB', 'chuX', 'sitC', 'ybtE', 'kpsD', 'ibeB', 'ybtA', 'chuV', 'ybtQ', 'sitA', 'iucC', 'iucD', 'irp2', 'iucA', 'sitD', 'chuU', 'ybtU', 'eaeH', 'kpsM', 'ybtP', 'hlyA', 'chuY', 'cnf1', 'kpsS', 'iss2', 'fyuA/psn', 'irp1', 'fyuA', 'ibeC', 'chuS', 'kpsE', 'ybtS', 'iutA', 'chuW', 'hlyD', 'kpsF', 'chuT', 'ybtX', 'hlyC', 'ybtT', 'hlyB', 'kpsU', 'chuA', 'trat', 'iucB', 'kpsC']"
GCA_025536555.1,ST10,O5:H11,"['blaCTX-M-15', 'qnrS1']","['ibeB', 'espX4', 'espR1', 'espY1', 'ibeC', 'espL1', 'espL3', 'hlyE', 'espX1']"
GCA_045801095.1,ST167,Unknown,"[""aac(6')-Ib-cr5"", 'blaCTX-M-15', 'blaNDM-5', 'blaOXA-1', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'espX4', 'eaeH', 'espR1', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat', 'espX1']"
GCA_040417865.1,ST167,O101:H5,"['blaCTX-M-15', 'blaNDM-5', 'blaOXA', 'blaTEM-1', 'rmtB1']","['rhs/PAAR', 'ibeB', 'eaeH', 'espX5', 'iss2', 'espY1', 'ibeC', 'espL1', 'espL4', 'espL3', 'hlyE', 'trat']"
